GEO_rural_urban,CONNECTION_social_days_stangers_p7d
NA,1
"Large urban centre (100,000+ people)",0
"Medium city/town (30,000-99,999 people)",1
"Large urban centre (100,000+ people)",3
NA,NA
NA,0
"Small city/town (1,000-29,999 people)",0
NA,0
NA,NA
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",0
NA,NA
NA,NA
NA,0
NA,0
NA,NA
NA,1
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",3
NA,NA
NA,0
"Large urban centre (100,000+ people)",1
"Large urban centre (100,000+ people)",1
NA,7
NA,NA
NA,NA
NA,NA
Rural area (Less than 1000 people),1
NA,NA
"Large urban centre (100,000+ people)",0
"Large urban centre (100,000+ people)",0
NA,NA
"Small city/town (1,000-29,999 people)",0
NA,NA
NA,NA
NA,NA
NA,0
NA,NA
NA,NA
NA,NA
NA,2
NA,NA
"Small city/town (1,000-29,999 people)",1
NA,3
NA,1
NA,0
NA,NA
"Large urban centre (100,000+ people)",0
Rural area (Less than 1000 people),5
NA,1
NA,3
NA,0
NA,0
NA,NA
NA,1
NA,NA
NA,NA
NA,0
NA,0
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
NA,0
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
"Large urban centre (100,000+ people)",1
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,NA
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",0
NA,2
NA,NA
NA,0
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
"Small city/town (1,000-29,999 people)",0
"Small city/town (1,000-29,999 people)",0
NA,NA
Rural area (Less than 1000 people),0
NA,NA
NA,0
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",0
NA,NA
"Large urban centre (100,000+ people)",1
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",1
NA,0
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
"Small city/town (1,000-29,999 people)",3
NA,4
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
NA,0
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,0
"Small city/town (1,000-29,999 people)",1
"Medium city/town (30,000-99,999 people)",1
"Medium city/town (30,000-99,999 people)",1
NA,NA
NA,1
NA,7
NA,1
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,2
"Large urban centre (100,000+ people)",0
NA,0
"Small city/town (1,000-29,999 people)",0
NA,NA
"Medium city/town (30,000-99,999 people)",0
"Medium city/town (30,000-99,999 people)",NA
"Large urban centre (100,000+ people)",1
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",1
NA,NA
NA,NA
NA,NA
NA,0
NA,0
NA,NA
Rural area (Less than 1000 people),2
NA,0
"Large urban centre (100,000+ people)",0
NA,NA
NA,1
"Large urban centre (100,000+ people)",0
NA,NA
"Small city/town (1,000-29,999 people)",1
NA,NA
"Large urban centre (100,000+ people)",0
NA,0
NA,0
NA,NA
"Medium city/town (30,000-99,999 people)",0
NA,1
"Medium city/town (30,000-99,999 people)",4
NA,NA
"Medium city/town (30,000-99,999 people)",1
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",0
"Large urban centre (100,000+ people)",1
"Small city/town (1,000-29,999 people)",4
NA,NA
NA,NA
NA,0
NA,NA
NA,5
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",0
NA,2
NA,NA
NA,2
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,NA
NA,NA
NA,NA
NA,1
NA,0
Rural area (Less than 1000 people),0
NA,NA
NA,NA
NA,3
NA,NA
Rural area (Less than 1000 people),0
NA,NA
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
"Medium city/town (30,000-99,999 people)",0
NA,NA
NA,NA
"Large urban centre (100,000+ people)",2
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",0
NA,0
NA,0
"Medium city/town (30,000-99,999 people)",0
"Large urban centre (100,000+ people)",0
NA,3
NA,NA
NA,2
NA,3
NA,NA
NA,NA
NA,NA
NA,NA
NA,7
NA,0
NA,3
NA,NA
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",0
NA,0
"Large urban centre (100,000+ people)",1
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",3
NA,3
NA,1
NA,NA
NA,0
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
NA,NA
NA,0
NA,NA
NA,NA
NA,1
"Medium city/town (30,000-99,999 people)",0
"Medium city/town (30,000-99,999 people)",0
"Small city/town (1,000-29,999 people)",3
NA,NA
NA,NA
NA,NA
NA,0
NA,NA
NA,NA
NA,NA
NA,2
NA,NA
NA,0
"Large urban centre (100,000+ people)",0
NA,NA
NA,3
NA,NA
"Large urban centre (100,000+ people)",0
NA,3
NA,NA
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",1
NA,NA
NA,NA
NA,0
"Large urban centre (100,000+ people)",4
NA,0
NA,NA
NA,7
"Large urban centre (100,000+ people)",1
NA,1
NA,NA
NA,2
NA,7
NA,NA
NA,NA
NA,0
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",4
NA,NA
NA,0
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,1
NA,NA
NA,1
NA,2
NA,NA
NA,2
Rural area (Less than 1000 people),0
"Small city/town (1,000-29,999 people)",0
NA,0
"Small city/town (1,000-29,999 people)",0
NA,3
"Large urban centre (100,000+ people)",3
NA,NA
NA,NA
NA,NA
NA,NA
NA,7
"Large urban centre (100,000+ people)",NA
NA,NA
Rural area (Less than 1000 people),1
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
"Large urban centre (100,000+ people)",2
NA,NA
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",2
NA,1
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,0
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
NA,2
NA,2
NA,0
NA,NA
NA,7
NA,0
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,0
"Medium city/town (30,000-99,999 people)",4
NA,1
NA,NA
NA,NA
Rural area (Less than 1000 people),1
NA,2
"Medium city/town (30,000-99,999 people)",1
"Medium city/town (30,000-99,999 people)",2
NA,NA
"Large urban centre (100,000+ people)",0
NA,2
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Rural area (Less than 1000 people),0
NA,NA
NA,1
"Medium city/town (30,000-99,999 people)",1
"Small city/town (1,000-29,999 people)",0
NA,NA
Rural area (Less than 1000 people),2
NA,0
NA,NA
NA,NA
NA,NA
NA,NA
NA,1
NA,NA
NA,NA
NA,NA
NA,NA
Presented but no response,0
NA,NA
NA,NA
NA,NA
NA,1
"Medium city/town (30,000-99,999 people)",3
NA,NA
NA,0
NA,1
Rural area (Less than 1000 people),1
NA,2
NA,NA
NA,NA
"Large urban centre (100,000+ people)",1
NA,NA
"Large urban centre (100,000+ people)",5
Rural area (Less than 1000 people),0
NA,NA
NA,0
NA,NA
NA,NA
NA,NA
Rural area (Less than 1000 people),7
NA,NA
NA,0
NA,NA
NA,NA
"Large urban centre (100,000+ people)",1
"Medium city/town (30,000-99,999 people)",0
NA,NA
NA,NA
"Large urban centre (100,000+ people)",2
NA,2
"Large urban centre (100,000+ people)",3
"Medium city/town (30,000-99,999 people)",0
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,0
NA,NA
NA,1
"Medium city/town (30,000-99,999 people)",1
NA,NA
"Medium city/town (30,000-99,999 people)",0
NA,NA
NA,0
NA,NA
NA,0
NA,NA
NA,1
NA,0
NA,NA
NA,0
NA,1
NA,NA
NA,NA
NA,NA
NA,2
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,7
"Small city/town (1,000-29,999 people)",1
NA,NA
NA,NA
NA,0
NA,NA
NA,0
"Small city/town (1,000-29,999 people)",5
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
NA,NA
NA,NA
NA,2
NA,NA
NA,NA
"Large urban centre (100,000+ people)",1
NA,0
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,0
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,NA
NA,4
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
"Large urban centre (100,000+ people)",3
NA,NA
NA,NA
NA,0
"Medium city/town (30,000-99,999 people)",0
NA,NA
NA,0
NA,NA
NA,NA
NA,0
NA,3
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,3
NA,NA
"Medium city/town (30,000-99,999 people)",2
"Large urban centre (100,000+ people)",0
NA,NA
NA,2
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",2
NA,5
NA,NA
NA,0
NA,NA
NA,1
NA,NA
"Large urban centre (100,000+ people)",2
"Small city/town (1,000-29,999 people)",0
NA,1
"Large urban centre (100,000+ people)",3
NA,0
NA,NA
"Small city/town (1,000-29,999 people)",0
NA,1
NA,0
NA,0
NA,6
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",1
NA,0
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,3
NA,3
NA,0
NA,NA
NA,0
NA,NA
NA,3
NA,2
NA,NA
"Large urban centre (100,000+ people)",1
"Small city/town (1,000-29,999 people)",2
NA,NA
NA,5
NA,NA
Rural area (Less than 1000 people),0
"Small city/town (1,000-29,999 people)",2
NA,2
NA,4
NA,NA
NA,0
"Medium city/town (30,000-99,999 people)",0
"Large urban centre (100,000+ people)",1
"Medium city/town (30,000-99,999 people)",2
NA,3
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",1
"Medium city/town (30,000-99,999 people)",NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
"Large urban centre (100,000+ people)",0
NA,NA
NA,1
"Medium city/town (30,000-99,999 people)",2
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,0
NA,0
Rural area (Less than 1000 people),NA
"Large urban centre (100,000+ people)",0
"Medium city/town (30,000-99,999 people)",1
NA,0
"Large urban centre (100,000+ people)",0
"Large urban centre (100,000+ people)",4
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",0
"Large urban centre (100,000+ people)",7
NA,NA
NA,1
NA,5
NA,NA
"Medium city/town (30,000-99,999 people)",1
NA,NA
NA,1
NA,NA
NA,1
NA,NA
"Large urban centre (100,000+ people)",1
NA,5
"Small city/town (1,000-29,999 people)",0
"Medium city/town (30,000-99,999 people)",3
NA,NA
"Small city/town (1,000-29,999 people)",2
NA,NA
Rural area (Less than 1000 people),0
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
NA,NA
Rural area (Less than 1000 people),2
NA,0
NA,NA
NA,NA
NA,NA
NA,0
NA,5
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
"Large urban centre (100,000+ people)",0
"Large urban centre (100,000+ people)",5
NA,NA
NA,NA
NA,1
"Medium city/town (30,000-99,999 people)",0
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,7
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",2
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",0
NA,NA
NA,NA
NA,0
NA,NA
"Large urban centre (100,000+ people)",2
NA,NA
NA,0
NA,1
NA,NA
NA,0
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",0
NA,NA
NA,0
NA,0
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,NA
Presented but no response,NA
NA,1
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,0
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
NA,4
NA,4
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
NA,1
"Large urban centre (100,000+ people)",0
NA,1
"Large urban centre (100,000+ people)",0
NA,0
NA,NA
NA,0
NA,NA
NA,0
NA,0
NA,0
"Medium city/town (30,000-99,999 people)",0
Rural area (Less than 1000 people),0
NA,NA
NA,NA
Rural area (Less than 1000 people),2
NA,NA
NA,NA
NA,6
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
"Large urban centre (100,000+ people)",0
Rural area (Less than 1000 people),0
NA,NA
NA,4
"Large urban centre (100,000+ people)",0
NA,NA
NA,3
"Large urban centre (100,000+ people)",3
NA,0
NA,NA
NA,NA
NA,0
NA,NA
NA,0
NA,NA
NA,1
NA,4
NA,NA
NA,5
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Medium city/town (30,000-99,999 people)",4
NA,NA
NA,NA
NA,0
NA,NA
NA,NA
Rural area (Less than 1000 people),1
NA,0
NA,NA
NA,1
NA,NA
"Large urban centre (100,000+ people)",0
NA,NA
NA,1
NA,0
NA,1
NA,0
NA,NA
NA,0
NA,1
NA,NA
NA,NA
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",0
NA,NA
NA,NA
NA,2
"Medium city/town (30,000-99,999 people)",0
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",0
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,3
"Small city/town (1,000-29,999 people)",0
NA,NA
"Large urban centre (100,000+ people)",0
Rural area (Less than 1000 people),0
NA,2
NA,NA
NA,NA
NA,NA
NA,0
NA,0
NA,NA
NA,NA
NA,NA
NA,2
NA,2
NA,1
NA,0
"Large urban centre (100,000+ people)",1
"Medium city/town (30,000-99,999 people)",3
"Large urban centre (100,000+ people)",0
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",0
NA,0
NA,4
NA,NA
NA,0
NA,NA
NA,7
NA,NA
NA,0
NA,0
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",2
NA,NA
"Large urban centre (100,000+ people)",1
NA,NA
NA,0
"Medium city/town (30,000-99,999 people)",2
"Large urban centre (100,000+ people)",0
NA,7
NA,NA
NA,NA
